2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,0,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,0,2
2,0,1,0,0,5,1,5,0,0,1,0,0,5,1,5,0,0,1,0,2
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
2,0,1,5,0,0,1,0,0,5,1,5,0,0,1,0,0,5,1,0,2
2,0,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,0,2
2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2
2,0,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,0,2
2,0,1,5,0,0,1,0,0,5,1,5,0,0,1,0,0,5,1,0,2
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
2,0,1,0,0,5,1,5,0,0,1,0,0,5,1,5,0,0,1,0,2
2,0,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,0,2
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Comment: 0-Grass, 1-Box, 2-Solid, 0-HEnemy, 4-VEnemy, 5-HVEnemy, 0-SEnemy
